Distance(cm),Unattenuated,Water(5cm),Concrete(5cm),Water(10cm)
16.8,0.000233353,NA,NA,NA
16.9,0.0002306,NA,NA,NA
17,0.000227896,NA,NA,NA
17.1,0.000225239,NA,NA,NA
17.2,0.000222629,NA,NA,NA
17.3,0.000220063,NA,NA,NA
17.4,0.000217542,NA,NA,NA
17.5,0.000215064,NA,NA,NA
17.6,0.000212627,NA,NA,NA
17.7,0.000210232,NA,NA,NA
17.8,0.000207878,NA,NA,NA
17.9,0.000205562,NA,NA,NA
18,0.000203285,NA,NA,NA
18.1,0.000201046,NA,NA,NA
18.2,0.000198843,NA,NA,NA
18.3,0.000196677,NA,NA,NA
18.4,0.000194545,NA,NA,NA
18.5,0.000192448,NA,NA,NA
18.6,0.000190385,NA,NA,NA
18.7,0.000188355,NA,NA,NA
18.8,0.000186357,NA,NA,NA
18.9,0.000184391,NA,NA,NA
19,0.000182456,NA,NA,NA
19.1,0.000180551,NA,NA,NA
19.2,0.000178675,NA,NA,NA
19.3,0.000176829,NA,NA,NA
19.4,0.000175011,NA,NA,NA
19.5,0.000173221,NA,NA,NA
19.6,0.000171459,NA,NA,NA
19.7,0.000169723,NA,NA,NA
19.8,0.000168013,NA,NA,NA
19.9,0.000166329,NA,NA,NA
20,0.000164671,NA,NA,NA
20.1,0.000163037,NA,NA,NA
20.2,0.000161427,NA,NA,NA
20.3,0.000159841,NA,NA,NA
20.4,0.000158278,NA,NA,NA
20.5,0.000156738,NA,NA,NA
20.6,0.00015522,NA,NA,NA
20.7,0.000153724,NA,NA,NA
20.8,0.00015225,NA,NA,NA
20.9,0.000150797,NA,NA,NA
21,0.000149364,NA,NA,NA
21.1,0.000147952,NA,NA,NA
21.2,0.00014656,NA,NA,NA
21.3,0.000145188,NA,NA,NA
21.4,0.000143834,NA,NA,NA
21.5,0.0001425,NA,NA,NA
21.6,0.000141183,NA,NA,NA
21.7,0.000139885,NA,NA,NA
21.8,0.000138605,NA,NA,NA
21.9,0.000137343,NA,NA,NA
22,0.000136097,NA,NA,NA
22.1,0.000134869,NA,NA,NA
22.2,0.000133657,NA,NA,NA
22.3,0.000132461,NA,NA,NA
22.4,0.000131281,NA,NA,NA
22.5,0.000130117,NA,NA,NA
22.6,0.000128968,NA,NA,NA
22.7,0.000127835,NA,NA,NA
22.8,0.000126716,NA,NA,NA
22.9,0.000125612,NA,NA,NA
23,0.000124522,NA,NA,NA
23.1,0.000123447,NA,NA,NA
23.2,0.000122385,NA,NA,NA
23.3,0.000121337,NA,NA,NA
23.4,0.000120302,NA,NA,NA
23.5,0.000119281,NA,NA,NA
23.6,0.000118272,NA,NA,NA
23.7,0.000117276,NA,NA,NA
23.8,0.000116293,NA,NA,NA
